POSTCODE,ID,NAME,Type,LATITUDE,LONGITUDE
AL100BS,E82002,WRAFTON HOUSE SURGERY,Surgery,51.766269,-0.227021
AL100JP,FDW45,ASDA PHARMACY,Dispensary,51.763348,-0.227492
AL100JT,FWM41,JADE PHARMACY (HATFIELD),Dispensary,51.763259,-0.226395
AL100JT,P4VG,FREEMAN GRIEVE LIMITED,Pharmacy,51.763259,-0.226395
AL100LD,FJL44,BOOTS,Dispensary,51.764045,-0.225659
AL100LF,Y05146,HCT LYMPHOEDEMA AT WEST ESSEX CCG,Surgery,51.763107,-0.224691
AL100LP,FWQ65,ROBIN HOOD LANE - JADE PHARMACY,Dispensary,51.76414,-0.226998
AL100NL,E82018,LISTER HOUSE SURGERY,Surgery,51.764574,-0.227126
AL100UR,Y04223,SPECTRUM,Surgery,51.76485,-0.226526
AL108HP,E82023,BURVILL HOUSE SURGERY,Surgery,51.761302,-0.22721
AL108HZ,P12M,B.C. SIMPKINS,Pharmacy,51.748418,-0.234124
AL108HZ,FXH92,JHOOTS PHARMACY,Dispensary,51.748418,-0.234124
AL12QU,FHH29,LLOYDSPHARMACY,Dispensary,51.74428,-0.34244
AL13DH,FA821,BOOTS,Dispensary,51.752596,-0.339093
AL13ET,P82M,FREEMAN GRIEVE LTD,Pharmacy,51.756062,-0.33559
AL13ET,FEJ67,JADE PHARMACY (ST. ALBANS),Dispensary,51.756062,-0.33559
AL13FY,FA471,IMED PHARMACY,Dispensary,51.747468,-0.326496
AL13FY,E82004,HATFIELD ROAD SURGERY,Surgery,51.747468,-0.326496
AL13HD,FX119,JADE PHARMACY,Dispensary,51.756766,-0.334063
AL13HD,E82060,PARKBURY HOUSE SURGERY,Surgery,51.756766,-0.334063
AL13JB,P62N,MALTINGS PHARMACY LIMITED,Pharmacy,51.751851,-0.337918
AL13JB,E82031,MALTINGS SURGERY,Surgery,51.751851,-0.337918
AL13JB,FHD16,MALTINGS PHARMACY LTD,Dispensary,51.751851,-0.337918
AL14JE,P2CW,G & R TAYLOR,Pharmacy,51.7518,-0.322346
AL14SU,FD192,MORRISON PHARMACY,Dispensary,51.75147,-0.311189
AL15PX,P86G,FALCONERS CHEMIST,Pharmacy,51.743701,-0.312478
AL15PX,P2YP,DEV MEDICAL LTD,Pharmacy,51.743701,-0.312478
AL15PX,FJ874,ST ALBANS PHARMACY,Dispensary,51.743701,-0.312478
AL21BG,FDX05,LLOYDSPHARMACY,Dispensary,51.718812,-0.287308
AL21EJ,FP498,WELL LONDON COLNEY - HIGH STREET,Dispensary,51.72663,-0.299068
AL21ES,Y03231,COMM GYNAECOLOGY CLINIC2,Surgery,51.724886,-0.302218
AL21ES,E82113,COLNEY MEDICAL CENTRE,Surgery,51.724886,-0.302218
AL21ES,Y01966,CATS - VERULAM GYNAECOLOGY,Surgery,51.724886,-0.302218
AL21PU,E82107,SUMMERFIELD HEALTH CENTRE,Surgery,51.722849,-0.299636
AL22DD,P1FN,CHEMISTREE LTD,Pharmacy,51.719721,-0.333601
AL22DD,P0R7,INTECARE HOME CARE LTD,Pharmacy,51.719721,-0.333601
AL22RA,FNX43,HOW WOOD (PHARMACY),Dispensary,51.719726,-0.350302
AL22RA,P50V,CHEMGRANGE LTD,Pharmacy,51.719726,-0.350302
AL23EB,P83K,NASH CHEMIST,Pharmacy,51.729539,-0.359487
AL23EB,FE259,CHISWELL PHARMACY,Dispensary,51.729539,-0.359487
AL23JX,E82055,MIDWAY SURGERY,Surgery,51.733852,-0.355421
AL23QB,FF077,BRICKET WOOD PHARMACY,Dispensary,51.708371,-0.367157
AL34JZ,P4KJ,PAKSH LTD,Pharmacy,51.746431,-0.360512
AL34JZ,FWL51,VERULAM PHARMACY,Dispensary,51.746431,-0.360512
AL35AS,FMH29,MEERA PHARMACY,Dispensary,51.767066,-0.323432
AL35AS,P75N,MEERA PHARMACY,Pharmacy,51.767066,-0.323432
AL35DP,P46L,SPRINGFIELD PHARMACY,Pharmacy,51.752013,-0.339897
AL35ES,FHA75,RUSSELL AVENUE PHARMACY,Dispensary,51.754031,-0.340098
AL35ES,H9F6P,YZH PHARMA LIMITED,Pharmacy,51.754031,-0.340098
AL35HB,E82084,HARVEY GROUP PRACTICE,Surgery,51.754148,-0.340152
AL35JB,Y01802,COMMUNITY MEDICAL STAFFING-ST ALBANS,Surgery,51.755098,-0.343711
AL35JB,Y04967,PALMS HERTFORDSHIRE COMMUNITY TRUST,Surgery,51.755098,-0.343711
AL35NF,E82059,GRANGE STREET SURGERY,Surgery,51.757298,-0.335878
AL35NP,E82014,"LODGE,HIGHFIELD & REDBOURN",Surgery,51.759812,-0.341544
AL35PE,P79Q,NORMANDY BARRACKS,Pharmacy,51.760213,-0.34066
AL35PE,FW384,NORMANDY CHEMIST,Dispensary,51.760213,-0.34066
AL37LW,FE879,CROWN PHARMACY,Dispensary,51.799484,-0.395745
AL38PB,P01A,LAMBERT CHEMIST LTD,Pharmacy,51.837581,-0.462399
AL38PB,FKG66,MARKYATE PHARMACY,Dispensary,51.837581,-0.462399
AL38PB,P1HT,SPA HEALTHCARE (UK) LTD,Pharmacy,51.837581,-0.462399
AL40AZ,FXM40,JHOOTS PHARMACY,Dispensary,51.744695,-0.301606
AL48AA,FND95,MANOR PHARMACY,Dispensary,51.812919,-0.293737
AL48AA,P2AH,KIME & SMITH LTD,Pharmacy,51.812919,-0.293737
AL49QT,P4X4,G.S. PHILLIPS (MANOR PHARMACY),Pharmacy,51.768517,-0.321147
AL49RB,FJ291,QUADRANT PHARMACY,Dispensary,51.764158,-0.306889
AL49RB,P28C,QUADRANT PHARMACIES LTD,Pharmacy,51.764158,-0.306889
AL49RG,FJV96,CRESCENT PHARMACY JERSEY FARM,Dispensary,51.769708,-0.29786
AL49RG,P4T7,JERSEY FARM ST ALBANS LTD,Pharmacy,51.769708,-0.29786
AL49XR,Y03039,SPECIALIST COMMUNITY DIABETES SERVICE,Surgery,51.769206,-0.319851
AL51PU,P5AR,SOUTHDOWN PHARMACY,Pharmacy,51.807161,-0.343094
AL51PU,FRL05,MANOR PHARMACY,Dispensary,51.807161,-0.343094
AL51PU,P0FW,PHILLIPS G,Pharmacy,51.807161,-0.343094
AL52BT,E82037,VILLAGE SURGERY,Surgery,51.814184,-0.357349
AL52RU,FEN81,SPRINGFIELD PHARMACY,Dispensary,51.81598,-0.355267
AL52RU,FCQ86,BOOTS,Dispensary,51.81598,-0.355267
AL52TE,FXQ89,MANOR PHARMACY,Dispensary,51.81503,-0.356007
AL52TE,P49G,MANOR PHARMACY,Pharmacy,51.81503,-0.356007
AL52TF,P4RA,MANOR PHARMACY (WHEATHAMPSTEAD) LIMITED,Pharmacy,51.81503,-0.356007
AL54HX,E82077,DAVENPORT HOUSE SURGERY,Surgery,51.816177,-0.354549
AL54QA,Y02175,CATS - ENT,Surgery,51.818895,-0.352007
AL54QA,E82071,ELMS MEDICAL PRACTICE,Surgery,51.818895,-0.352007
AL54SE,FL574,TOPKINS PHARMACY,Dispensary,51.815105,-0.35364
AL54SE,P81T,TOPKINS LTD,Pharmacy,51.815105,-0.35364
AL69EF,P1NH,BRIDGE COTTAGE LIMITED,Pharmacy,51.830002,-0.215995
AL69EF,FTV61,BRIDGE COTTAGE PHARMACY,Dispensary,51.830002,-0.215995
AL69EF,E82019,BRIDGE COTTAGE SURGERY,Surgery,51.830002,-0.215995
AL69EQ,FTR08,LLOYDSPHARMACY,Dispensary,51.830322,-0.215141
AL69PW,Y05877,QVM HOSPITAL,Surgery,51.827957,-0.222867
AL69SB,Y02029,DERMATOLOGY SERVICES E&N,Surgery,51.827958,-0.222882
AL69SB,Y05842,DANESBURY NEUROLOGICAL UNIT,Surgery,51.827958,-0.222882
AL71AN,P3MX,EUROBAY PHARMACY,Pharmacy,51.804094,-0.188913
AL71AN,FFW15,CARE2HOMES,Dispensary,51.804094,-0.188913
AL71BW,Y03837,HVCCG NURSE PRESCRIBERS,Surgery,51.802697,-0.194002
AL71BW,Y03838,ENHCCG NURSE PRESCRIBERS,Surgery,51.802697,-0.194002
AL71HG,P3YD,NEXCAPE PHARMACEUTICALS LTD,Pharmacy,51.802406,-0.191417
AL71JR,Y04607,ISABEL HOSPICE,Surgery,51.801037,-0.194793
AL71SQ,P29F,TESCO PLC,Pharmacy,51.804482,-0.195898
AL72AA,P4DQ,GATE2PHARMA LTD,Pharmacy,51.797668,-0.182001
AL72AA,FA631,GATE2PHARMA,Dispensary,51.797668,-0.182001
AL72BQ,FFG97,YOUR LOCAL BOOTS PHARMACY,Dispensary,51.801194,-0.172229
AL73PP,FD297,YOUR LOCAL BOOTS PHARMACY,Dispensary,51.791679,-0.194234
AL73UJ,P1RQ,MIALL SMITH LIMITED,Pharmacy,51.797042,-0.197979
AL73UJ,E82040,PEARTREE LANE SURGERY,Surgery,51.797042,-0.197979
AL73UJ,FXA85,PEARTREE PHARMACY,Dispensary,51.797042,-0.197979
AL73XW,FQY52,YOUR LOCAL BOOTS PHARMACY,Dispensary,51.79578,-0.199716
AL74HL,Y06837,HUC WEST ESSEX EA2,Surgery,51.782567,-0.191727
AL74HL,Y02639,SPRING HOUSE HEALTH,Surgery,51.782567,-0.191727
AL74HL,Y00415,HUC HERTS VALLEY,Surgery,51.782567,-0.191727
AL74HL,Y03580,EN HERTS ACUTE IN-HOURS VISITING SERVICE,Surgery,51.782567,-0.191727
AL74HL,Y01061,HERTS URGENT CARE E/N OOH,Surgery,51.782567,-0.191727
AL74HL,Y06388,HUC WEST ESSEX EA,Surgery,51.782567,-0.191727
AL74HL,Y06380,HUC WEST ESSEX OOH,Surgery,51.782567,-0.191727
AL74HL,Y06831,HUC AS SERVICE,Surgery,51.782567,-0.191727
AL74PL,E82062,HALL GROVE GROUP PRACTICE,Surgery,51.78932,-0.181801
AL86AB,P23E,JOHNS & KELYNACK LTD,Pharmacy,51.803595,-0.204346
AL86AB,FR022,JOHNS & KELYNACK PHARMACY,Dispensary,51.803595,-0.204346
AL86AB,T2L8Z,NOORUL HEALTHCARE LTD,Pharmacy,51.803595,-0.204346
AL86EH,E82041,THE GARDEN CITY PRACTICE,Surgery,51.797151,-0.209287
AL86HA,FJJ76,BOOTS,Dispensary,51.801207,-0.204572
AL86PS,P67G,CITY PHARMACY,Pharmacy,51.800816,-0.206811
AL86SA,FD748,LLOYDSPHARMACY,Dispensary,51.800891,-0.208587
AL87RH,FJT10,LLOYDSPHARMACY,Dispensary,51.815315,-0.203373
AL95JY,FL209,TESCO IN-STORE PHARMACY,Dispensary,51.776333,-0.220403
AL97DY,P4CD,KEAN PHARMACY,Pharmacy,51.734663,-0.218579
AL97DY,P3TM,MRS ANJANA PATEL,Pharmacy,51.734663,-0.218579
AL97DY,FNV17,KEAN PHARMACY,Dispensary,51.734663,-0.218579
AL97DY,Z3F0E,SHREE PHARMA LIMITED,Pharmacy,51.734663,-0.218579
AL97QR,FLM57,JHOOTS PHARMACY,Dispensary,51.722305,-0.201864
AL97QT,P3VK,BROADWELL ENTERPRISES LTD,Pharmacy,51.721631,-0.202751
AL97SN,E82058,POTTERELLS MEDICAL CENTRE,Surgery,51.726922,-0.208602
B100AU,FX767,TWILIGHT PHARMACY,Dispensary,52.465722,-1.861403
B100AU,M85146,THE KHATTAK MEMORIAL SURGERY,Surgery,52.465722,-1.861403
B100AU,Y06854,KHATTAK HUB,Surgery,52.465722,-1.861403
B100BS,M85024,THE LIMES MEDICAL CENTRE,Surgery,52.467108,-1.862252
B100HH,FXQ03,ASDA PHARMACY,Dispensary,52.463771,-1.842431
B100JL,M85005,THE PARK MEDICAL CENTRE,Surgery,52.466336,-1.848418
B100LG,FWP74,NOOR PHARMACY,Dispensary,52.467363,-1.857998
B100LG,P2FX,MR BALAL AKBAR AND ANEELA SHAHEEN BALAL,Pharmacy,52.467363,-1.857998
B100NR,P2HN,AL-QAIM PHARMACY LTD,Pharmacy,52.470521,-1.862943
B100SW,P3N5,MUBARAK HEALTHCARE LTD,Pharmacy,52.47155,-1.863652
B100SW,FML48,MADEENAH PHARMACY,Dispensary,52.47155,-1.863652
B100TU,M85749,AUBREY ROAD MEDICAL CENTRE,Surgery,52.46633,-1.846411
B100UF,FMA33,SAYDON PHARMACY,Dispensary,52.471342,-1.861974
B100UF,P4A1,SS LOTAY,Pharmacy,52.471342,-1.861974
B100UF,P2EQ,GREAT WOOD PHARMACY LIMITED,Pharmacy,52.471342,-1.861974
B100UG,M85699,COVENTRY ROAD MEDICAL CENTRE,Surgery,52.47013,-1.859073
B100UU,FQ288,MEDICARE CHEMIST,Dispensary,52.467056,-1.849726
B100UU,P1F9,CLINPHARM HEALTHCARE LTD,Pharmacy,52.467056,-1.849726
B100UU,FDW81,AL-SHAFA PHARMACY,Dispensary,52.467056,-1.849726
B100UU,FJQ52,STAG CHEMIST,Dispensary,52.467056,-1.849726
B100UU,P426,MEDICARE CHEMIST,Pharmacy,52.467056,-1.849726
B100XA,FWM18,WM MORRISON PHARMACY,Dispensary,52.47431,-1.866274
B109AB,M85679,CHARLES ROAD SURGERY,Surgery,52.4722,-1.850621
B109NW,P4H7,SUPERNET PHARMA LTD,Pharmacy,52.467936,-1.848325
B109NW,FCL15,SUPERNET PHARMACY,Dispensary,52.467936,-1.848325
B109QE,M85108,SMALL HEATH MEDICAL PRACTICE,Surgery,52.472555,-1.861882
B109QE,FT012,MY LOCAL CHEMIST,Dispensary,52.472555,-1.861882
B111AA,FFA63,THE PHARMACY PRACTICE,Dispensary,52.459527,-1.871381
B111AA,P36Y,BROOK CHEMIST,Pharmacy,52.459527,-1.871381
B111AA,P4EK,THE PHARMACY PRACTICE LIMITED,Pharmacy,52.459527,-1.871381
B111LU,M85794,"THE BALAJI SURGERY, THE SPARKBROOK CHC",Surgery,52.462659,-1.871333
B111LU,FEH43,SPARKBROOK HEALTH CENTRE PHARMACY,Dispensary,52.462659,-1.871333
B111LU,M85174,THE BROOK SURGERY,Surgery,52.462659,-1.871333
B111ND,P0WC,TWILIGHT UK LTD,Pharmacy,52.462839,-1.863885
B111QB,P61Y,EASTCHEM LTD,Pharmacy,52.459578,-1.86569
B111RB,P419,SPARKBROOK PHARMACY,Pharmacy,52.462907,-1.876248
B111RB,P0PX,SPARKBROOK ENTERPRISES LTD,Pharmacy,52.462907,-1.876248
B111RD,FVR41,SPARKBROOK PHARMACY,Dispensary,52.46413,-1.877216
B111UW,FK636,EXPRESS PHARMACY SERVICES,Dispensary,52.458156,-1.867838
B112AA,FKF57,QUANTUM PHARMACY,Dispensary,52.456269,-1.839191
B112HR,P2TV,DIRECT PHARMACY LTD,Pharmacy,52.453427,-1.848978
B112NB,P0PL,GREET PHARMACY LTD,Pharmacy,52.455608,-1.860875
B112NB,P1AE,GREET PHARMACY,Pharmacy,52.455608,-1.860875
B113DJ,P4VJ,EXPRESS HEALTHCARE SERVICES LTD,Pharmacy,52.445347,-1.839981
B113ND,M85735,GREET MEDICAL PRACTICE,Surgery,52.453195,-1.857778
B113NQ,FTN75,GREET PHARMACY,Dispensary,52.452648,-1.858707
B113NQ,P3KD,PHARMACY2HOME LIMITED,Pharmacy,52.452648,-1.858707
B114AL,P3HF,INSPIRED OUTLOOK LTD,Pharmacy,52.452241,-1.86505
B114AN,P0MP,ARK HEALTHCARE LTD,Pharmacy,52.451603,-1.864567
B114AN,M85116,FERNLEY MEDICAL CENTRE,Surgery,52.451603,-1.864567
B114AN,FMK17,A R K HEALTHCARE LTD,Dispensary,52.451603,-1.864567
B114AN,P03X,ALCOCK MAY & ILES LTD,Pharmacy,52.451603,-1.864567
B114BS,FTP87,LASER PHARMACY,Dispensary,52.44521,-1.859122
B114BS,P1PC,LASER PHARMACY LIMITED,Pharmacy,52.44521,-1.859122
B114BW,M85078,OAKWOOD SURGERY,Surgery,52.444556,-1.858645
B114BW,Y02620,THE HILL GENERAL PRACTICE & UCC,Surgery,52.444556,-1.858645
B114BW,Y05826,THE HILL GP PRACTICE,Surgery,52.444556,-1.858645
B114BW,M85774,SPRINGFIELD SURGERY,Surgery,52.444556,-1.858645
B114DA,P2MT,ADVANCE PHARMACY LTD,Pharmacy,52.443963,-1.858529
B114DA,P1PT,MEDIPHARMA HEALTHCARE LTD,Pharmacy,52.443963,-1.858529
B114DA,FG482,SPARKHILL PHARMACY,Dispensary,52.443963,-1.858529
B114DG,M85756,SPRINGFIELD MEDICAL PRACT,Surgery,52.444953,-1.859629
B114DG,FG295,BARKAT PHARMACY,Dispensary,52.444953,-1.859629
B114DG,P04J,MASTERS (UK) LTD,Pharmacy,52.444953,-1.859629
B114DG,P1EE,SR CHAUDHRY,Pharmacy,52.444953,-1.859629
B114DG,FCL95,MASTERS PHARMACY,Dispensary,52.444953,-1.859629
B114LD,FPP39,OLIVE TREE PHARMACY,Dispensary,52.45504,-1.86772
B114LD,P0X1,OLIVE TREE HEALTHCARE LTD,Pharmacy,52.45504,-1.86772
B114LE,FJ079,SHAH PHARMACY,Dispensary,52.454338,-1.86706
B114LE,P68D,SPL CORPORATION LTD,Pharmacy,52.454338,-1.86706
B114LP,FW137,YOUR LOCAL BOOTS PHARMACY,Dispensary,52.453385,-1.866327
B114LP,P763,PHARMA PHOTO LTD,Pharmacy,52.453385,-1.866327
B114RA,M85153,WEATHER OAK MEDICAL CENTRE,Surgery,52.45691,-1.867538
B120RT,P4E3,YOUR ONLINE SERVICES LTD,Pharmacy,52.470995,-1.886098
B120UF,Y00920,B.D.I.P.WAND,Surgery,52.464187,-1.888682
B120UF,FM311,HORTON PHARMACY,Dispensary,52.464187,-1.888682
B120UF,M85084,THE WAND MEDICAL CENTRE,Surgery,52.464187,-1.888682
